@RELATION daily

@ATTRIBUTE daily_symbol string
@ATTRIBUTE stock_open real
@ATTRIBUTE high real
@ATTRIBUTE low real
@ATTRIBUTE stock_close real
@ATTRIBUTE adjusted_close real
@ATTRIBUTE volume real
@ATTRIBUTE dividend_amount real
@ATTRIBUTE split_coefficient real
@ATTRIBUTE cobdate_partition DATE "yyyy-MM-dd"

@DATA
BAC,64.5,65.19,63.94,64.87,17.7348,4018200,0.0,1.0,"1999-11-01"
BAC,64.94,65.75,64.19,64.25,17.5653,3909800,0.0,1.0,"1999-11-02"
BAC,64.75,64.75,62.94,63.0,17.2235,4876700,0.0,1.0,"1999-11-03"
BAC,63.88,64.5,63.5,63.5,17.3602,5136800,0.0,1.0,"1999-11-04"
BAC,65.5,66.87,65.0,65.06,17.7867,4981800,0.0,1.0,"1999-11-05"
BAC,65.44,67.0,65.25,66.0,18.0437,3555500,0.0,1.0,"1999-11-08"
BAC,66.31,66.44,63.38,63.94,17.4805,4434000,0.0,1.0,"1999-11-09"
BAC,63.25,64.81,62.81,64.0,17.4969,4485800,0.0,1.0,"1999-11-10"
BAC,64.0,64.0,62.5,63.0,17.2235,3173400,0.0,1.0,"1999-11-11"
BAC,63.5,66.81,63.5,66.5,18.1804,4980800,0.0,1.0,"1999-11-12"
BAC,66.06,66.44,65.56,65.75,17.9754,4167200,0.0,1.0,"1999-11-15"
BAC,66.06,67.5,65.87,67.5,18.4538,5426300,0.0,1.0,"1999-11-16"
BAC,66.87,67.12,66.12,66.56,18.1968,3513500,0.0,1.0,"1999-11-17"
BAC,66.5,66.94,65.25,65.37,17.8715,4635800,0.0,1.0,"1999-11-18"
BAC,65.44,66.12,64.81,65.12,17.8031,2960100,0.0,1.0,"1999-11-19"
BAC,64.37,64.69,63.81,64.25,17.5653,4653100,0.0,1.0,"1999-11-22"
BAC,63.63,63.88,62.19,62.63,17.1224,3817000,0.0,1.0,"1999-11-23"
BAC,61.25,61.56,59.75,60.0,16.4034,6184300,0.0,1.0,"1999-11-24"
BAC,59.94,61.38,59.81,60.5,16.5401,2333300,0.0,1.0,"1999-11-26"
BAC,60.13,60.19,56.31,56.94,15.5668,7984500,0.0,1.0,"1999-11-29"
BAC,57.5,59.5,57.44,58.61,16.0234,7492700,0.0,1.0,"1999-11-30"
