@RELATION monthly

@ATTRIBUTE monthly_symbol string
@ATTRIBUTE stock_open real
@ATTRIBUTE high real
@ATTRIBUTE low real
@ATTRIBUTE stock_close real
@ATTRIBUTE adjusted_close real
@ATTRIBUTE volume real
@ATTRIBUTE dividend_amount real
@ATTRIBUTE cobdate_partition DATE "yyyy-MM-dd"

@DATA
JPM,77.13,83.37,72.06,77.69,26.8345,65211136,0.0,"1999-12-31"
JPM,74.75,81.5,68.25,80.69,28.0319,109109004,0.41,"2000-01-31"
JPM,82.44,86.37,74.56,79.62,27.6602,88645202,0.0,"2000-02-29"
JPM,79.88,100.75,77.13,87.19,30.29,110318738,0.0,"2000-03-31"
JPM,87.94,93.0,71.75,72.12,25.1933,99979203,0.48,"2000-04-28"
JPM,72.5,77.0,68.13,74.69,26.0911,103784871,0.0,"2000-05-31"
JPM,75.87,82.38,44.12,46.06,24.1349,122980102,0.0,"2000-06-30"
JPM,45.88,53.75,45.88,49.81,26.2754,84149300,0.32,"2000-07-31"
JPM,49.88,56.56,49.62,55.88,29.4774,139772000,0.0,"2000-08-31"
JPM,56.69,58.38,44.56,46.19,24.9119,233944700,1.0,"2000-09-29"
JPM,46.62,48.12,32.38,45.5,24.7121,245473100,0.32,"2000-10-31"
JPM,45.5,46.5,35.44,36.88,20.0304,155467700,0.0,"2000-11-30"
JPM,37.12,47.56,36.88,45.44,24.6795,200159000,0.0,"2000-12-29"
JPM,44.62,57.33,43.19,54.99,30.4564,247102800,1.0,"2001-01-31"
JPM,54.99,55.85,45.3,46.66,25.8428,154547500,0.0,"2001-02-28"
JPM,45.6,51.19,37.58,44.9,24.868,204257600,0.0,"2001-03-30"
JPM,44.5,49.54,38.54,47.16,26.3428,167154700,0.34,"2001-04-30"
JPM,47.9,49.9,45.56,48.31,26.9852,149322200,0.0,"2001-05-31"
JPM,48.41,49.06,41.77,43.71,24.4157,157719500,0.0,"2001-06-29"
JPM,45.12,45.56,40.21,42.88,24.1322,131864500,0.34,"2001-07-31"
JPM,43.42,43.82,38.73,39.02,21.9599,135245300,0.0,"2001-08-31"
JPM,40.28,40.28,29.04,33.82,19.0334,175067700,0.0,"2001-09-28"
JPM,34.29,38.08,31.85,35.36,20.0952,205630000,0.34,"2001-10-31"
JPM,36.09,40.3,35.16,37.72,21.4364,150775700,0.0,"2001-11-30"
JPM,37.08,40.95,35.02,36.35,20.6579,180358700,0.0,"2001-12-31"
JPM,36.49,39.68,30.4,34.05,19.5318,225098800,0.34,"2002-01-31"
JPM,34.05,34.05,26.7,29.25,16.7784,285216300,0.0,"2002-02-28"
JPM,29.6,36.49,29.05,35.65,20.4496,211048800,0.0,"2002-03-28"
JPM,35.95,37.95,33.1,35.1,20.3296,189633900,0.34,"2002-04-30"
JPM,35.44,38.75,34.24,35.95,20.8219,150664200,0.0,"2002-05-31"
JPM,36.0,36.25,30.15,33.92,19.6461,177232000,0.0,"2002-06-28"
JPM,33.59,33.73,18.22,24.96,14.614,350909700,0.34,"2002-07-31"
JPM,24.96,27.4,22.1,26.4,15.4571,247681100,0.0,"2002-08-30"
JPM,25.65,25.75,17.86,18.99,11.1186,308858000,0.0,"2002-09-30"
JPM,19.15,21.61,15.26,20.75,12.3754,372556800,0.34,"2002-10-31"
JPM,20.75,25.7,20.0,25.17,15.0115,243834500,0.0,"2002-11-29"
JPM,25.99,26.14,22.8,24.0,14.3137,203658000,0.0,"2002-12-31"
JPM,25.25,28.29,22.7,23.34,14.1061,243213700,0.34,"2003-01-31"
JPM,23.5,23.87,20.86,22.68,13.7072,168216300,0.0,"2003-02-28"
JPM,23.15,24.9,20.13,23.71,14.3297,224183400,0.0,"2003-03-31"
JPM,24.15,29.69,23.75,29.35,17.9786,241402800,0.34,"2003-04-30"
JPM,29.35,33.07,28.69,32.86,20.1287,204510000,0.0,"2003-05-30"
JPM,33.35,36.52,33.32,34.18,20.9372,210944900,0.0,"2003-06-30"
JPM,33.84,38.26,33.05,35.05,21.6836,198713700,0.34,"2003-07-31"
JPM,35.08,35.43,32.4,34.22,21.1701,183969800,0.0,"2003-08-29"
JPM,34.42,35.87,33.16,34.33,21.2381,173570000,0.0,"2003-09-30"
JPM,34.7,36.99,34.56,35.9,22.425,201848900,0.34,"2003-10-31"
JPM,36.22,36.76,34.45,35.4,22.1127,119712400,0.0,"2003-11-28"
JPM,35.61,36.84,34.5,36.73,22.9435,145825100,0.0,"2003-12-31"
JPM,36.56,40.53,36.3,38.89,24.5183,292400100,0.34,"2004-01-30"
JPM,39.1,41.2,38.61,41.02,25.8612,161986400,0.0,"2004-02-27"
JPM,41.23,43.84,40.44,41.95,26.4475,213536600,0.0,"2004-03-31"
JPM,41.95,42.57,37.45,37.6,23.8991,205652600,0.34,"2004-04-30"
JPM,38.01,38.75,34.62,36.84,23.416,200758000,0.0,"2004-05-28"
JPM,36.8,38.85,36.5,38.77,24.6427,174976400,0.0,"2004-06-30"
JPM,38.58,38.64,35.496,37.33,23.9388,225139100,0.34,"2004-07-30"
JPM,37.23,39.8,35.9,39.58,25.3817,178960500,0.0,"2004-08-31"
JPM,39.52,40.25,38.95,39.73,25.4779,185980900,0.0,"2004-09-30"
JPM,39.9,40.45,36.321,38.6,24.9649,216650400,0.34,"2004-10-29"
JPM,38.77,39.91,37.06,37.65,24.3505,222462100,0.0,"2004-11-30"
JPM,37.8,39.48,37.25,39.01,25.2301,209201600,0.0,"2004-12-31"
JPM,39.48,39.69,36.51,37.33,24.3572,231082900,0.34,"2005-01-31"
JPM,37.5,38.07,35.9,36.55,23.8483,203306200,0.0,"2005-02-28"
JPM,37.0,37.79,34.32,34.6,22.576,266804300,0.0,"2005-03-31"
JPM,34.79,35.88,33.35,35.49,23.3898,274126100,0.34,"2005-04-29"
JPM,35.58,36.3,34.11,35.75,23.5612,199696300,0.0,"2005-05-31"
JPM,35.56,36.5,35.01,35.32,23.2778,197370200,0.0,"2005-06-30"
JPM,35.22,35.95,34.3,35.14,23.3837,187460100,0.34,"2005-07-29"
JPM,35.32,35.65,33.31,33.89,22.5519,193472900,0.0,"2005-08-31"
JPM,33.75,35.0,33.5,33.93,22.5785,211341400,0.0,"2005-09-30"
JPM,34.19,36.8,32.92,36.62,24.6152,269054600,0.34,"2005-10-31"
JPM,36.79,39.18,36.58,38.25,25.7108,237640300,0.0,"2005-11-30"
JPM,38.52,40.56,38.32,39.69,26.6788,200859300,0.0,"2005-12-30"
JPM,39.83,40.87,37.88,39.75,26.9484,262471900,0.34,"2006-01-31"
JPM,39.88,41.95,39.05,41.14,27.8907,189953500,0.0,"2006-02-28"
JPM,41.2,42.43,40.87,41.64,28.2297,254538100,0.0,"2006-03-31"
JPM,41.95,45.9,41.48,45.38,31.0127,208177900,0.34,"2006-04-28"
JPM,45.38,46.8,41.59,42.64,29.1402,262343700,0.0,"2006-05-31"
JPM,42.75,44.2,39.33,42.0,28.7028,271716100,0.0,"2006-06-30"
JPM,42.05,45.71,40.4,45.62,31.424,239719400,0.34,"2006-07-31"
JPM,45.79,46.1,43.5,45.66,31.4515,198516600,0.0,"2006-08-31"
JPM,45.85,47.49,44.68,46.96,32.347,182171700,0.0,"2006-09-29"
JPM,46.96,48.57,46.37,47.44,32.9116,247025600,0.34,"2006-10-31"
JPM,47.75,48.05,45.78,46.28,32.1068,184245600,0.0,"2006-11-30"
JPM,46.5,49.0,45.51,48.3,33.5082,204996600,0.0,"2006-12-29"
JPM,48.0,51.16,47.32,50.93,35.5827,255322500,0.34,"2007-01-31"
JPM,50.98,51.95,47.6,49.39,34.5067,217186600,0.0,"2007-02-28"
JPM,48.53,49.65,45.91,48.38,33.8011,354058700,0.0,"2007-03-30"
JPM,48.38,53.06,47.7,52.1,36.655,301906400,0.34,"2007-04-30"
JPM,52.4,53.25,51.26,51.83,36.465,242848700,0.0,"2007-05-31"
JPM,51.92,52.08,48.06,48.45,34.087,323308000,0.0,"2007-06-29"
JPM,48.9,50.48,43.5,44.01,31.2017,517826100,0.38,"2007-07-31"
JPM,43.7,48.29,42.16,44.52,31.5633,670058600,0.0,"2007-08-31"
JPM,44.4,48.06,43.2,45.82,32.4849,347252900,0.0,"2007-09-28"
JPM,45.47,47.88,44.6,47.0,33.5909,427511900,0.38,"2007-10-31"
JPM,45.65,46.32,40.15,45.62,32.6046,632312100,0.0,"2007-11-30"
JPM,45.92,48.02,42.79,43.65,31.1967,462894600,0.0,"2007-12-31"
JPM,43.47,49.29,37.66,47.4,34.1821,894659000,0.38,"2008-01-31"
JPM,47.39,48.7,40.38,40.65,29.3144,630381200,0.0,"2008-02-29"
JPM,40.13,48.16,36.01,42.95,30.973,1076808500,0.0,"2008-03-31"
JPM,45.13,48.64,41.17,47.65,34.6448,707297700,0.38,"2008-04-30"
JPM,47.68,49.95,41.9,43.0,31.2639,563598400,0.0,"2008-05-30"
JPM,42.63,42.77,33.96,34.31,24.9457,939120600,0.0,"2008-06-30"
JPM,33.66,43.0,29.24,40.63,29.8707,1268229800,0.38,"2008-07-31"
JPM,41.11,42.85,35.0,38.49,28.2974,750472600,0.0,"2008-08-29"
JPM,39.56,49.0,34.04,46.7,34.3333,1386597500,0.0,"2008-09-30"
JPM,46.91,50.63,32.52,41.25,30.5577,1587863300,0.38,"2008-10-31"
JPM,41.25,42.5,19.69,31.66,23.4535,1436151000,0.0,"2008-11-28"
JPM,30.67,37.7,24.61,31.53,23.3572,1154247300,0.0,"2008-12-31"
JPM,31.19,31.64,17.7,25.51,19.1267,1571005200,0.38,"2009-01-30"
JPM,25.0,27.97,18.75,22.85,17.1323,1715266600,0.0,"2009-02-27"
JPM,21.7,29.6,14.96,26.58,19.9289,2805950700,0.0,"2009-03-31"
JPM,25.29,35.21,25.29,33.0,24.7864,2113301200,0.05,"2009-04-30"
JPM,32.85,38.94,32.06,36.9,27.7157,1541580000,0.0,"2009-05-29"
JPM,37.4,37.73,32.18,34.11,25.6201,1418979800,0.0,"2009-06-30"
JPM,34.27,39.47,31.59,38.65,29.0731,1083420300,0.05,"2009-07-31"
JPM,39.12,44.24,38.988,43.46,32.6913,851531100,0.0,"2009-08-31"
JPM,43.08,46.5,40.75,43.82,32.9621,710240100,0.0,"2009-09-30"
JPM,43.4,47.47,40.53,41.77,31.4576,857048300,0.05,"2009-10-30"
JPM,42.18,44.99,40.75,42.49,31.9998,644655200,0.0,"2009-11-30"
JPM,42.61,43.09,40.0373,41.62,31.3446,755880700,0.0,"2009-12-31"
JPM,41.79,45.19,38.07,38.94,29.3605,1029066400,0.05,"2010-01-29"
JPM,39.1,42.305,37.025,41.97,31.6451,876257200,0.0,"2010-02-26"
JPM,42.03,46.05,41.34,44.7,33.7035,755522200,0.0,"2010-03-31"
JPM,45.03,48.2,42.23,42.58,32.1405,947688500,0.05,"2010-04-30"
JPM,42.97,43.73,37.02,39.58,29.8761,1137332300,0.0,"2010-05-28"
JPM,39.32,39.96,36.51,36.61,27.6342,975653600,0.0,"2010-06-30"
JPM,36.54,41.24,35.16,40.28,30.4466,832405700,0.05,"2010-07-30"
JPM,40.98,41.7,35.55,36.36,27.4836,723429400,0.0,"2010-08-31"
JPM,36.74,41.5,36.66,38.06,28.7685,717143800,0.0,"2010-09-30"
JPM,38.34,40.72,36.21,37.63,28.48,949249000,0.05,"2010-10-29"
JPM,37.61,41.34,36.83,37.4,28.3059,760406300,0.0,"2010-11-30"
JPM,37.95,43.1201,37.65,42.42,32.1053,665999200,0.0,"2010-12-31"
JPM,43.0,45.94,42.645,44.94,34.0511,827482200,0.05,"2011-01-31"
JPM,45.2,48.36,44.3,46.69,35.377,597586300,0.0,"2011-02-28"
JPM,46.47,47.1,43.4,46.1,34.93,684643600,0.0,"2011-03-31"
JPM,46.55,47.8,43.53,45.63,34.7604,577996200,0.25,"2011-04-29"
JPM,45.94,46.07,41.69,43.24,32.9397,586460300,0.0,"2011-05-31"
JPM,42.87,42.99,39.24,40.94,31.1876,807200100,0.0,"2011-06-30"
JPM,40.81,42.55,38.93,40.45,30.9996,666695700,0.25,"2011-07-29"
JPM,41.16,41.37,32.31,37.56,28.7848,1190346900,0.0,"2011-08-31"
JPM,37.62,37.82,28.53,30.12,23.083,1031994300,0.0,"2011-09-30"
JPM,30.03,37.54,27.85,34.76,26.8591,1065099100,0.25,"2011-10-31"
JPM,32.47,35.18,28.28,30.97,23.9305,836433900,0.0,"2011-11-30"
JPM,30.86,34.19,30.03,33.25,25.6923,818108000,0.0,"2011-12-30"
JPM,34.06,38.1,34.01,37.3,29.0279,722165800,0.25,"2012-01-31"
JPM,37.89,39.935,37.05,39.24,30.5376,565332000,0.0,"2012-02-29"
JPM,39.51,46.49,39.12,45.98,35.7829,820652500,0.0,"2012-03-30"
JPM,45.75,46.35,41.8,42.98,33.6691,617224800,0.3,"2012-04-30"
JPM,43.0,44.24,32.26,33.15,25.9686,1294302900,0.0,"2012-05-31"
JPM,32.41,37.03,30.83,35.73,27.9897,1033963700,0.0,"2012-06-29"
JPM,36.27,37.2,33.1,36.0,28.437,814935400,0.3,"2012-07-31"
JPM,36.19,38.86,34.76,37.14,29.3375,468135900,0.0,"2012-08-31"
JPM,36.98,42.09,36.78,40.48,31.9759,485796100,0.0,"2012-09-28"
JPM,40.88,43.54,40.42,41.68,33.1655,517965600,0.3,"2012-10-31"
JPM,41.7,43.07,38.83,41.08,32.6881,467570200,0.0,"2012-11-30"
JPM,41.27,44.54,40.2,43.9691,34.987,461095700,0.0,"2012-12-31"
JPM,44.98,47.35,44.2,47.05,37.69,522625800,0.3,"2013-01-31"
JPM,47.4,49.68,46.85,48.92,39.188,450398100,0.0,"2013-02-28"
JPM,48.59,51.0,47.28,47.46,38.0184,465174328,0.0,"2013-03-28"
JPM,47.55,49.63,46.05,49.01,39.5115,489433900,0.3,"2013-04-30"
JPM,48.76,55.9,46.98,54.59,44.01,549824600,0.0,"2013-05-31"
JPM,54.6,55.39,50.11,52.79,42.5589,440217000,0.0,"2013-06-28"
JPM,53.22,56.93,52.12,55.73,45.2524,414604000,0.38,"2013-07-31"
JPM,56.36,56.78,50.13,50.53,41.03,343831300,0.0,"2013-08-30"
JPM,51.25,53.93,50.06,51.69,41.972,434870300,0.0,"2013-09-30"
JPM,51.64,54.85,50.25,51.54,42.1555,482265300,0.38,"2013-10-31"
JPM,51.45,58.14,51.3,57.22,46.8012,365912800,0.0,"2013-11-29"
JPM,57.1,58.55,55.4,58.48,47.8318,330218200,0.0,"2013-12-31"
JPM,58.31,59.82,54.692,55.36,45.5755,425415900,0.38,"2014-01-31"
JPM,55.5,58.65,54.2,56.82,46.7775,345203100,0.0,"2014-02-28"
