@RELATION weekly

@ATTRIBUTE weekly_symbol string
@ATTRIBUTE stock_open real
@ATTRIBUTE high real
@ATTRIBUTE low real
@ATTRIBUTE stock_close real
@ATTRIBUTE adjusted_close real
@ATTRIBUTE volume real
@ATTRIBUTE dividend_amount real
@ATTRIBUTE cobdate_partition DATE "yyyy-MM-dd"

@DATA
JPM,86.31,86.62,80.31,85.0,29.3594,14525068,0.0,"1999-11-12"
JPM,84.06,86.44,81.63,83.0,28.6686,16909467,0.0,"1999-11-19"
JPM,82.5,82.56,78.75,79.06,27.3077,8859134,0.0,"1999-11-26"
JPM,78.81,83.37,76.0,82.0,28.3232,17664801,0.0,"1999-12-03"
JPM,82.0,82.0,76.06,78.94,27.2663,16563334,0.0,"1999-12-10"
JPM,78.12,79.25,72.06,72.75,25.1282,16346534,0.0,"1999-12-17"
JPM,73.38,77.94,72.12,77.5,26.7689,14520934,0.0,"1999-12-23"
JPM,77.5,79.19,76.31,77.69,26.8345,7627867,0.0,"1999-12-31"
JPM,74.75,75.38,69.0,72.75,25.2736,31598801,0.41,"2000-01-07"
JPM,72.75,75.75,68.25,73.88,25.6661,24701001,0.0,"2000-01-14"
JPM,73.94,76.0,70.25,72.94,25.3396,22641467,0.0,"2000-01-21"
JPM,74.37,81.5,72.19,76.69,26.6423,25394268,0.0,"2000-01-28"
JPM,76.81,84.87,76.81,81.75,28.4002,25501801,0.0,"2000-02-04"
JPM,82.19,86.37,81.38,82.62,28.7024,23169534,0.0,"2000-02-11"
JPM,82.25,83.44,74.56,74.75,25.9684,22358267,0.0,"2000-02-18"
JPM,76.0,79.19,74.62,75.87,26.3574,14243800,0.0,"2000-02-25"
JPM,76.75,82.38,76.38,81.12,28.1813,17766267,0.0,"2000-03-03"
JPM,82.94,84.38,77.75,78.69,27.3371,16531201,0.0,"2000-03-10"
JPM,77.62,92.25,77.13,91.0,31.6137,30159068,0.0,"2000-03-17"
JPM,90.0,100.75,84.5,96.19,33.4167,29964068,0.0,"2000-03-24"
JPM,96.0,96.87,85.94,87.19,30.29,24043401,0.0,"2000-03-31"
JPM,87.94,93.0,83.0,86.37,30.1712,25484267,0.48,"2000-04-07"
JPM,85.5,90.94,75.75,78.87,27.5513,30053868,0.0,"2000-04-14"
JPM,77.5,81.0,74.94,77.31,27.0063,19426534,0.0,"2000-04-20"
JPM,76.0,78.75,71.75,72.12,25.1933,25014534,0.0,"2000-04-28"
JPM,72.5,77.0,70.5,72.19,25.2178,31232468,0.0,"2000-05-05"
JPM,71.62,73.19,68.13,71.62,25.0187,25711001,0.0,"2000-05-12"
JPM,72.75,76.69,72.06,72.5,25.3261,19499734,0.0,"2000-05-19"
JPM,73.25,74.56,69.38,70.5,24.6274,21221134,0.0,"2000-05-26"
JPM,71.62,82.38,71.13,80.69,28.187,17885201,0.0,"2000-06-02"
JPM,80.5,81.12,71.37,73.31,25.609,20405535,0.0,"2000-06-09"
JPM,49.38,50.38,44.12,45.44,23.81,41530600,0.0,"2000-06-16"
JPM,45.38,48.56,45.12,46.88,24.5645,24365000,0.0,"2000-06-23"
JPM,46.56,48.94,45.62,46.06,24.1349,24914300,0.0,"2000-06-30"
JPM,45.88,50.69,45.88,50.06,26.4073,17572600,0.32,"2000-07-07"
JPM,50.19,52.75,49.69,52.5,27.6944,21687700,0.0,"2000-07-14"
JPM,53.75,53.75,50.12,52.73,27.8158,24217700,0.0,"2000-07-21"
JPM,52.44,52.62,48.06,48.38,25.5211,17020600,0.0,"2000-07-28"
JPM,49.0,53.38,48.25,52.44,27.6628,35361100,0.0,"2000-08-04"
JPM,53.06,54.12,51.31,52.0,27.4307,26159500,0.0,"2000-08-11"
JPM,52.75,53.38,50.06,50.75,26.7713,25720400,0.0,"2000-08-18"
JPM,51.0,54.88,50.62,52.06,27.4623,27082100,0.0,"2000-08-25"
JPM,52.0,56.81,51.62,56.31,29.7043,34578100,0.0,"2000-09-01"
JPM,56.44,58.31,55.75,57.81,30.4955,19665400,0.0,"2000-09-08"
JPM,57.5,58.38,48.44,49.12,25.9114,90303000,0.0,"2000-09-15"
JPM,49.12,49.12,44.56,47.25,25.4836,72847800,1.0,"2000-09-22"
JPM,47.5,48.69,45.12,46.19,24.9119,45650000,0.0,"2000-09-29"
JPM,46.62,48.12,41.75,42.88,23.2891,45834300,0.32,"2000-10-06"
JPM,43.12,43.25,37.44,39.69,21.5566,64302500,0.0,"2000-10-13"
JPM,40.19,40.69,32.38,38.38,20.8451,68906200,0.0,"2000-10-20"
JPM,38.19,42.94,37.94,42.69,23.1859,45358300,0.0,"2000-10-27"
JPM,42.81,46.5,42.81,44.44,24.1364,42176700,0.0,"2000-11-03"
JPM,44.88,45.69,42.56,42.81,23.2511,25196400,0.0,"2000-11-10"
JPM,41.88,43.19,39.12,39.62,21.5186,36147900,0.0,"2000-11-17"
JPM,39.75,39.94,37.0,39.12,21.247,24059000,0.0,"2000-11-24"
JPM,39.44,40.19,35.44,37.31,20.2639,58407800,0.0,"2000-12-01"
JPM,37.38,43.25,36.88,40.0,21.7249,58476700,0.0,"2000-12-08"
JPM,40.25,44.69,40.06,43.94,23.8648,54797900,0.0,"2000-12-15"
JPM,44.0,46.38,43.25,45.62,24.7773,49097300,0.0,"2000-12-22"
JPM,45.62,47.56,44.31,45.44,24.6795,28338800,0.0,"2000-12-29"
